source,target,relation
facility:北四楼・好汉石打卡点,facility:北门锁钥关城城楼,scenic_route
facility:北四楼・好汉石打卡点,facility:北索道入口平台,scenic_route
facility:北索道入口平台,facility:北四楼・好汉石打卡点,scenic_route
facility:北索道入口平台,facility:北八楼・好汉坡制高点,scenic_route
facility:北八楼・好汉坡制高点,facility:北索道入口平台,scenic_route
facility:北八楼・好汉坡制高点,facility:北八至北九 S 弯长城,scenic_route
facility:北八至北九 S 弯长城,facility:北八楼・好汉坡制高点,scenic_route
facility:岔道城古炮展区,facility:南索道入口平台,scenic_route
facility:南索道入口平台,facility:岔道城古炮展区,scenic_route
facility:南索道入口平台,facility:南四楼南线全景机位,scenic_route
facility:南四楼南线全景机位,facility:南索道入口平台,scenic_route
前山安检口/前山1通道,facility:北门锁钥关城城楼,front_gate_to_north_route
facility:北门锁钥关城城楼,前山安检口/前山1通道,front_gate_to_north_route
前山安检口/前山1通道,facility:北四楼・好汉石打卡点,front_gate_to_north_route
facility:北四楼・好汉石打卡点,前山安检口/前山1通道,front_gate_to_north_route
前山安检口/前山1通道,facility:北索道入口平台,front_gate_to_north_route
facility:北索道入口平台,前山安检口/前山1通道,front_gate_to_north_route
前山安检口/前山1通道,facility:北八楼・好汉坡制高点,front_gate_to_north_route
facility:北八楼・好汉坡制高点,前山安检口/前山1通道,front_gate_to_north_route
前山安检口/前山1通道,facility:北八至北九 S 弯长城,front_gate_to_north_route
facility:北八至北九 S 弯长城,前山安检口/前山1通道,front_gate_to_north_route
前山安检口/前山2通道,facility:北门锁钥关城城楼,front_gate_to_north_route
facility:北门锁钥关城城楼,前山安检口/前山2通道,front_gate_to_north_route
前山安检口/前山2通道,facility:北四楼・好汉石打卡点,front_gate_to_north_route
facility:北四楼・好汉石打卡点,前山安检口/前山2通道,front_gate_to_north_route
前山安检口/前山2通道,facility:北索道入口平台,front_gate_to_north_route
facility:北索道入口平台,前山安检口/前山2通道,front_gate_to_north_route
前山安检口/前山2通道,facility:北八楼・好汉坡制高点,front_gate_to_north_route
facility:北八楼・好汉坡制高点,前山安检口/前山2通道,front_gate_to_north_route
前山安检口/前山2通道,facility:北八至北九 S 弯长城,front_gate_to_north_route
